metric,value,display
sample_count,121.0,121
vector_relative_L2,0.052751481598380244,5.2751%
magnitude_relative_L2,0.05180956994621895,5.1810%
field_cosine_similarity,0.9998099700114066,0.99981
displacement_field_MAC,0.9996199761342097,0.99962
fine_peak_U,0.7542662707464122,7.542662707464e-01
homo_peak_U,0.7936576008860452,7.936576008860e-01
peak_U_signed_relative_error,0.05222470056980266,5.2225%
pointwise_error_over_fine_peak_mean,0.028229670897794157,2.8230%
pointwise_error_over_fine_peak_p95,0.055178775780354024,5.5179%
pointwise_error_over_fine_peak_max,0.05852293943271919,5.8523%
U1_relative_L2,0.06258495174684384,6.2585%
U1_R2,0.9960831238103673,0.996083
U2_relative_L2,0.05265407772979187,5.2654%
U2_R2,0.990574133559475,0.990574
U3_relative_L2,0.999999999756581,100.0000%
U3_R2,-0.3797686049624063,-0.379769
