homo_node_label,x,y,z,fine_query_x,fine_query_y,fine_query_z,homo_u1,homo_u2,homo_u3,fine_u1,fine_u2,fine_u3,homo_umag,fine_umag,absolute_vector_error,mls_condition_number,mls_support_radius_normalized,pointwise_error_over_fine_peak
1,4.0,4.0,0.0,7.0,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.9862627845647702e-14,0.0035644907778492213,-0.7542578438358019,8.126107169210778e-05,0.7936576008860452,0.7542662707464122,0.03956046490705333,19.880064485372618,0.20251880237019973,0.052448938049297636
2,3.200000047683716,4.0,0.0,6.200000047683716,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.97297588694096e-14,0.00018333104426616076,-0.7495166307492492,5.423404368994025e-05,0.7936576008860452,0.7495166551326994,0.04414137106293656,29.641143555967236,0.1703707645283794,0.058522265644007684
3,2.400000095367432,4.0,0.0,5.400000095367432,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.9596888199105607e-14,-0.0017409469294939748,-0.7530964679314968,4.294073199294623e-05,0.7936576008860452,0.7530984814425095,0.040598637085901716,23.13469381240494,0.16736249071115405,0.05382533816038974
4,1.600000023841858,4.0,0.0,4.600000023841858,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.9464019222867508e-14,0.0006666344271563186,-0.7530339478170798,4.215119014171909e-05,0.7936576008860452,0.7530342440707187,0.04062909222370208,23.133781753086414,0.1673624862593911,0.05386571533086858
5,0.800000011920929,4.0,0.0,3.800000011920929,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.9331148552563515e-14,-7.992563613381902e-05,-0.7499005431777416,5.398999072468011e-05,0.7936576008860452,0.7499005493805817,0.04375716993147571,29.640571561282766,0.17037075966015588,0.05801289495309684
6,0.0,4.0,0.0,3.0,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.9198279576325417e-14,-5.7313148163971684e-05,-0.7506979668444069,3.6467601777026486e-05,0.7936576008860452,0.7506979699180019,0.042959692106765736,19.07379749968631,0.15971913506198337,0.056955605431293355
7,-0.800000011920929,4.0,0.0,2.199999988079071,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.9065408906021424e-14,7.166124052888884e-05,-0.7499008280597776,5.0468041753549123e-05,0.7936576008860452,0.749900833182026,0.043756855510158094,29.641143152992083,0.17037076939660317,0.05801247809590753
8,-1.600000023841858,4.0,0.0,1.399999976158142,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.8932539929783325e-14,-0.0006732811337777739,-0.7530342924651349,4.159026550468733e-05,0.7936576008860452,0.7530345946008733,0.0406289615633875,23.134692217550924,0.1673624862593911,0.05386554210250129
9,-2.400000095367432,4.0,0.0,0.5999999046325679,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.879966925947933e-14,0.0017344503555534283,-0.753095997416212,3.946725112952218e-05,0.7936576008860452,0.753097995748242,0.04059855324672736,23.13378348626636,0.16736249071115408,0.053825227007103946
10,-3.200000047683716,4.0,0.0,-0.20000004768371582,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.8666800283241236e-14,-0.00019141027762258113,-0.7495161797002631,5.076085542976881e-05,0.7936576008860452,0.7495162058601774,0.044141879279035255,29.64056621672744,0.17037077426482714,0.05852293943271919
11,-4.0,4.0,0.0,-1.0,7.0,0.0,3.181301735821762e-06,-0.7936576008796692,1.853392961293724e-14,-0.003571591518593183,-0.754257100907561,4.366779038961734e-05,0.7936576008860452,0.7542655583031286,0.0395623597077446,19.876122952053247,0.2025188063646646,0.05245145016042438
12,4.0,3.200000047683716,0.0,7.0,6.200000047683716,0.0,0.051582958549261,-0.6940783262252808,1.6716586543285252e-14,0.05392253488069233,-0.6842999281118608,4.2602649294908844e-05,0.6959924744911988,0.6864211777013025,0.010054476717405747,29.64114355596724,0.1703707645283794,0.013330142295049157
13,3.200000047683716,3.200000047683716,0.0,6.200000047683716,6.200000047683716,0.0,0.0291630867868661,-0.718991219997406,1.650832147034615e-14,0.03779012723358158,-0.6782756711408153,1.2451278125692465e-05,0.7195824206192759,0.6793275939728108,0.04161948943220008,26.699067159837757,0.14279574260435918,0.055178775780354024
14,2.400000095367432,3.200000047683716,0.0,5.400000095367432,6.200000047683716,0.0,0.0201249532401561,-0.7174860835075378,1.6266459682587154e-14,0.025288185018794238,-0.6864756286818928,4.43400335137684e-05,0.7177682730309999,0.6869412515213971,0.031437385974852926,36.47804663530342,0.13834965167136226,0.04167942700625191
15,1.600000023841858,3.200000047683716,0.0,4.600000023841858,6.200000047683716,0.0,0.0125350803136825,-0.7191611528396606,1.5999356312999986e-14,0.013526783166537182,-0.6868918760126566,5.8772096244687444e-05,0.7192703886523761,0.6870250553285379,0.032284565285062745,36.47909470501728,0.13834964965186428,0.04280261034755585
