metric,value,display
sample_count,512.0,512
vector_relative_L2,0.052394253296472,5.2394%
magnitude_relative_L2,0.0487071365975229,4.8707%
field_cosine_similarity,0.999635825675464,0.999636
displacement_field_MAC,0.9992717839738667,0.999272
fine_peak_U,0.1085377406793341,1.085377406793e-01
homo_peak_U,0.113526466747019,1.135264667470e-01
peak_U_signed_relative_error,0.045963054293010286,4.5963%
pointwise_error_over_fine_peak_mean,0.030265854616193407,3.0266%
pointwise_error_over_fine_peak_p95,0.050335257486516634,5.0335%
pointwise_error_over_fine_peak_max,0.06699664703135205,6.6997%
U1_relative_L2,0.11435091613789755,11.4351%
U1_R2,0.9869238574334828,0.986924
U2_relative_L2,0.11435572650586516,11.4356%
U2_R2,0.9869227435540145,0.986923
U3_relative_L2,0.045849778959088844,4.5850%
U3_R2,0.992309725097521,0.99231
