metric,value,display
sample_count,216.0,216
vector_relative_L2,0.027561892847130624,2.7562%
magnitude_relative_L2,0.016939716378869703,1.6940%
field_cosine_similarity,0.9996239413100504,0.999624
displacement_field_MAC,0.999248024040239,0.999248
fine_peak_U,0.3518710761422075,3.518710761422e-01
homo_peak_U,0.35201516303957414,3.520151630396e-01
peak_U_signed_relative_error,0.0004094877559883692,0.0409%
pointwise_error_over_fine_peak_mean,0.014579910828729949,1.4580%
pointwise_error_over_fine_peak_p95,0.02744673395987925,2.7447%
pointwise_error_over_fine_peak_max,0.042301586322531816,4.2302%
U1_relative_L2,0.12030729078777715,12.0307%
U1_R2,0.98552615510835,0.985526
U2_relative_L2,0.12030313441704252,12.0303%
U2_R2,0.9855271552213167,0.985527
U3_relative_L2,0.012427684111305806,1.2428%
U3_R2,0.999517098828011,0.999517
