homo_node_label,x,y,z,fine_query_x,fine_query_y,fine_query_z,homo_u1,homo_u2,homo_u3,fine_u1,fine_u2,fine_u3,homo_umag,fine_umag,absolute_vector_error,mls_condition_number,mls_support_radius_normalized,pointwise_error_over_fine_peak
1,-2.5,-2.5,5.0,-0.5,-0.5,1.0,-0.0579077638685703,-0.0579077638685703,-0.3423566222190857,-0.054140592204295276,-0.05414060291898862,-0.34343658999307614,0.35201516303957414,0.3518680149640426,0.005435937302897053,37.05273043081477,0.14177446895574575,0.015448661943160505
2,-2.5,-1.5,5.0,-0.5,0.5,1.0,-0.0571786500513553,-0.0293057337403297,-0.3407951891422272,-0.05388622351095443,-0.03320567522112242,-0.34119327519440273,0.34679905564208335,0.34701468699328364,0.0051193836135301,46.803556144809214,0.11090535979721187,0.014549032190020413
3,-2.5,-0.5,5.0,-0.5,1.5,1.0,-0.0568632408976554,-0.0151511682197451,-0.3391120433807373,-0.05347444598395491,-0.01127179238817719,-0.33928269005688755,0.34418013311297746,0.34365580665714224,0.0051538925190341926,46.61513499498371,0.11090535603515297,0.014647104773542866
4,-2.5,0.5,5.0,-0.5,2.5,1.0,-0.0568632408976554,0.0151511682197451,-0.3391120433807373,-0.05349451328293552,0.011268486333749057,-0.3392720554110312,0.34418013311297746,0.34364832215283386,0.005142873537221854,46.30443226508372,0.11090535603515292,0.014615789378332932
5,-2.5,1.5,5.0,-0.5,3.5,1.0,-0.0571786500513553,0.0293057337403297,-0.3407951891422272,-0.053885028255445826,0.033206387693415905,-0.3411938980129543,0.34679905564208335,0.3470151819373468,0.005120743555365127,46.86547070956554,0.11090535979721183,0.014552897076699751
6,-2.5,2.5,5.0,-0.5,4.5,1.0,-0.0579077638685703,0.0579077638685703,-0.3423566222190857,-0.05413763287397432,0.05413760175522636,-0.3434404685829102,0.35201516303957414,0.3518708835318058,0.0054408393670170915,36.87725706892367,0.14177447147826333,0.015462593364218988
7,-2.5,-2.5,4.0,-0.5,-0.5,0.0,-0.0491815768182277,-0.0491815768182277,-0.273920327425003,-0.0524336602270425,-0.05243370577235463,-0.2747366247820124,0.28261281070269145,0.28456773397987173,0.004671052408956653,47.37288856795607,0.11090536355927062,0.013274897329352706
8,-2.5,-1.5,4.0,-0.5,0.5,0.0,-0.0497212037444114,-0.035956036299467,-0.2721919119358063,-0.052442933178130056,-0.031782447579755777,-0.2722548167119586,0.27902234959126765,0.2790753848646418,0.004983032301975776,60.23915247982154,0.0866025348724028,0.014161528582025028
9,-2.5,-0.5,4.0,-0.5,1.5,0.0,-0.0496206879615783,-0.0068032857961952,-0.2702089250087738,-0.0524514367851299,-0.010656217171932224,-0.2700888563919625,0.27481149998826865,0.2753410585662044,0.004782534428618424,59.46315171119891,0.08602324892882078,0.013591723653596295
10,-2.5,0.5,4.0,-0.5,2.5,0.0,-0.0496206879615783,0.0068032857961952,-0.2702089250087738,-0.0524570213881042,0.010656287302747631,-0.2700809029554318,0.27481149998826865,0.2753343234927532,0.004786104633422191,59.68789166526567,0.08602325170038036,0.013601869997089228
