metric,value,display
sample_count,512.0,512
vector_relative_L2,0.04328461319365034,4.3285%
magnitude_relative_L2,0.03177584140966921,3.1776%
field_cosine_similarity,0.9992026660390732,0.999203
displacement_field_MAC,0.9984059678195916,0.998406
fine_peak_U,0.012651559823477538,1.265155982348e-02
homo_peak_U,0.012453587437805867,1.245358743781e-02
peak_U_signed_relative_error,-0.015648061459132778,-1.5648%
pointwise_error_over_fine_peak_mean,0.02052479610786562,2.0525%
pointwise_error_over_fine_peak_p95,0.03817089600239585,3.8171%
pointwise_error_over_fine_peak_max,0.041262650465157,4.1263%
U1_relative_L2,0.019195887793581383,1.9196%
U1_R2,0.9996315178898287,0.999632
U2_relative_L2,0.027913629750703613,2.7914%
U2_R2,0.9992208292696934,0.999221
U3_relative_L2,0.08175800426293209,8.1758%
U3_R2,0.9895251116809776,0.989525
